Line09_DD_10m.bin
        10.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
6915
 2
0
4  480.00  0.00 540.00  0.00 180.00  0.00 240.00  0.00 -0.02313 
4  480.00  0.00 540.00  0.00 240.00  0.00 300.00  0.00 -0.05876 
4  480.00  0.00 540.00  0.00 300.00  0.00 360.00  0.00 -0.11435 
4  480.00  0.00 540.00  0.00 360.00  0.00 420.00  0.00 -0.19230 
4  500.00  0.00 540.00  0.00 140.00  0.00 180.00  0.00 -0.00400 
4  500.00  0.00 540.00  0.00 180.00  0.00 220.00  0.00 -0.00728 
4  500.00  0.00 540.00  0.00 220.00  0.00 260.00  0.00 -0.01336 
4  500.00  0.00 540.00  0.00 260.00  0.00 300.00  0.00 -0.02504 
4  500.00  0.00 540.00  0.00 300.00  0.00 340.00  0.00 -0.03977 
4  500.00  0.00 540.00  0.00 340.00  0.00 380.00  0.00 -0.04482 
4  500.00  0.00 540.00  0.00 380.00  0.00 420.00  0.00 -0.06469 
4  500.00  0.00 540.00  0.00 420.00  0.00 460.00  0.00 -0.32106 
4  520.00  0.00 540.00  0.00 340.00  0.00 360.00  0.00 -0.00933 
4  520.00  0.00 540.00  0.00 360.00  0.00 380.00  0.00 -0.00925 
4  520.00  0.00 540.00  0.00 380.00  0.00 400.00  0.00 -0.00968 
4  520.00  0.00 540.00  0.00 400.00  0.00 420.00  0.00 -0.01415 
4  520.00  0.00 540.00  0.00 420.00  0.00 440.00  0.00 -0.02555 
4  520.00  0.00 540.00  0.00 440.00  0.00 460.00  0.00 -0.06072 
4  520.00  0.00 540.00  0.00 460.00  0.00 480.00  0.00 -0.18882 
4  520.00  0.00 540.00  0.00 480.00  0.00 500.00  0.00 -0.93420 
4  420.00  0.00 520.00  0.00 20.00  0.00 120.00  0.00 -0.01952 
4  420.00  0.00 520.00  0.00 120.00  0.00 220.00  0.00 -0.07490 
4  420.00  0.00 520.00  0.00 220.00  0.00 320.00  0.00 -0.37510 
4  440.00  0.00 520.00  0.00 40.00  0.00 120.00  0.00 -0.01129 
4  440.00  0.00 520.00  0.00 120.00  0.00 200.00  0.00 -0.03149 
4  440.00  0.00 520.00  0.00 200.00  0.00 280.00  0.00 -0.11460 
4  440.00  0.00 520.00  0.00 280.00  0.00 360.00  0.00 -0.34443 
4  460.00  0.00 520.00  0.00 40.00  0.00 100.00  0.00 -0.00480 
4  460.00  0.00 520.00  0.00 100.00  0.00 160.00  0.00 -0.00954 
4  460.00  0.00 520.00  0.00 160.00  0.00 220.00  0.00 -0.02255 
4  460.00  0.00 520.00  0.00 220.00  0.00 280.00  0.00 -0.05968 
4  460.00  0.00 520.00  0.00 280.00  0.00 340.00  0.00 -0.13802 
4  460.00  0.00 520.00  0.00 340.00  0.00 400.00  0.00 -0.22863 
4  480.00  0.00 520.00  0.00 120.00  0.00 160.00  0.00 -0.00409 
4  480.00  0.00 520.00  0.00 160.00  0.00 200.00  0.00 -0.00686 
4  480.00  0.00 520.00  0.00 200.00  0.00 240.00  0.00 -0.01224 
4  480.00  0.00 520.00  0.00 240.00  0.00 280.00  0.00 -0.02664 
4  480.00  0.00 520.00  0.00 280.00  0.00 320.00  0.00 -0.04438 
4  480.00  0.00 520.00  0.00 320.00  0.00 360.00  0.00 -0.06277 
4  480.00  0.00 520.00  0.00 360.00  0.00 400.00  0.00 -0.07674 
4  480.00  0.00 520.00  0.00 400.00  0.00 440.00  0.00 -0.30661 
4  500.00  0.00 520.00  0.00 320.00  0.00 340.00  0.00 -0.01240 
4  500.00  0.00 520.00  0.00 340.00  0.00 360.00  0.00 -0.01283 
4  500.00  0.00 520.00  0.00 360.00  0.00 380.00  0.00 -0.01341 
4  500.00  0.00 520.00  0.00 380.00  0.00 400.00  0.00 -0.01523 
4  500.00  0.00 520.00  0.00 400.00  0.00 420.00  0.00 -0.02557 
4  500.00  0.00 520.00  0.00 420.00  0.00 440.00  0.00 -0.05686 
4  500.00  0.00 520.00  0.00 440.00  0.00 460.00  0.00 -0.17793 
