Project15	Dipole-Dipole_1								
5									
11									
3									
Type	of	measurement	"(0=app.resistivity,1=resistance)"						
4	340	0	330	0	250	0	260	0	0.0217633
4	290	0	250	0	90	0	130	0	0.0217716
4	255	0	250	0	205	0	210	0	0.0218836
4	260	0	250	0	180	0	190	0	0.0219431
4	290	0	270	0	170	0	190	0	0.0219846
4	300	0	280	0	160	0	180	0	0.0221372
4	300	0	270	0	150	0	180	0	0.0221486
4	280	0	260	0	160	0	180	0	0.0222097
4	240	0	220	0	100	0	120	0	0.0222187
4	230	0	210	0	70	0	90	0	0.0223128
4	270	0	250	0	150	0	170	0	0.0223554
4	230	0	210	0	70	0	90	0	0.0228366
4	260	0	240	0	140	0	160	0	0.0229472
4	380	0	360	0	240	0	260	0	0.0230872
4	280	0	240	0	80	0	120	0	0.0231273
4	300	0	270	0	120	0	150	0	0.0231386
4	280	0	270	0	210	0	220	0	0.0231968
4	260	0	220	0	20	0	60	0	0.0233025
4	290	0	240	0	40	0	90	0	0.0233028
4	290	0	240	0	140	0	190	0	0.023307
4	260	0	220	0	20	0	60	0	0.023312
4	240	0	220	0	100	0	120	0	0.0233587
4	250	0	240	0	170	0	180	0	0.0233666
4	280	0	240	0	80	0	120	0	0.0234363
4	290	0	250	0	90	0	130	0	0.0235672
4	360	0	350	0	260	0	270	0	0.0235999
4	290	0	260	0	140	0	170	0	0.0236477
4	300	0	270	0	120	0	150	0	0.0237995
4	210	0	190	0	10	0	30	0	0.0240094
4	210	0	190	0	10	0	30	0	0.0240751
4	300	0	280	0	180	0	200	0	0.0241797
4	200	0	190	0	100	0	110	0	0.0242002
4	280	0	260	0	160	0	180	0	0.0244465
4	300	0	280	0	160	0	180	0	0.0244747
4	290	0	270	0	150	0	170	0	0.0245812
4	290	0	270	0	170	0	190	0	0.0246435
4	290	0	270	0	170	0	190	0	0.0246822
4	330	0	310	0	210	0	230	0	0.0247517
4	290	0	285	0	245	0	250	0	0.0248418
4	290	0	280	0	220	0	230	0	0.0248773
4	290	0	240	0	40	0	90	0	0.0250596
4	230	0	220	0	140	0	150	0	0.0250995
4	250	0	245	0	200	0	205	0	0.0252721
4	320	0	310	0	240	0	250	0	0.0253964
4	260	0	240	0	140	0	160	0	0.0254253
4	200	0	190	0	100	0	110	0	0.025442
4	290	0	280	0	220	0	230	0	0.02545
4	240	0	210	0	30	0	60	0	0.0255251
4	270	0	265	0	225	0	230	0	0.0258186
4	250	0	220	0	70	0	100	0	0.0258786
4	250	0	220	0	70	0	100	0	0.0259494
4	250	0	240	0	170	0	180	0	0.0260384
4	240	0	210	0	30	0	60	0	0.0261202
4	285	0	280	0	235	0	240	0	0.0262949
4	220	0	200	0	40	0	60	0	0.0263113
4	230	0	220	0	140	0	150	0	0.026347
4	220	0	200	0	40	0	60	0	0.0266187
4	340	0	320	0	220	0	240	0	0.0268754
4	270	0	230	0	70	0	110	0	0.0273062
4	295	0	290	0	245	0	250	0	0.0275307
4	280	0	230	0	30	0	80	0	0.0280795
4	280	0	230	0	30	0	80	0	0.0287164
4	270	0	230	0	70	0	110	0	0.0290697
4	300	0	260	0	100	0	140	0	0.0292099
4	300	0	260	0	100	0	140	0	0.0293671
4	260	0	250	0	190	0	200	0	0.0294252
4	200	0	180	0	0	0	20	0	0.0296797
4	255	0	250	0	210	0	215	0	0.0300815
4	230	0	210	0	90	0	110	0	0.0301409
4	260	0	250	0	190	0	200	0	0.0303025
4	230	0	210	0	90	0	110	0	0.0304435
4	275	0	270	0	240	0	245	0	0.0304529
4	300	0	295	0	255	0	260	0	0.0305822
4	200	0	180	0	0	0	20	0	0.0307766
4	250	0	210	0	10	0	50	0	0.0310906
4	290	0	285	0	250	0	255	0	0.0312542
4	250	0	210	0	10	0	50	0	0.0312981
4	270	0	250	0	150	0	170	0	0.0314734
4	240	0	230	0	160	0	170	0	0.0317802
4	330	0	320	0	250	0	260	0	0.0319533
4	240	0	230	0	160	0	170	0	0.0325843
4	280	0	275	0	235	0	240	0	0.0326758
4	350	0	330	0	230	0	250	0	0.0329966
4	270	0	260	0	200	0	210	0	0.0330614
4	265	0	260	0	220	0	225	0	0.0336346
4	220	0	210	0	130	0	140	0	0.0339029
4	290	0	250	0	130	0	170	0	0.0339781
4	220	0	210	0	130	0	140	0	0.0341568
4	210	0	200	0	120	0	130	0	0.0342279
4	210	0	190	0	30	0	50	0	0.0344261
4	210	0	190	0	30	0	50	0	0.0345189
4	210	0	200	0	110	0	120	0	0.0345595
4	270	0	220	0	20	0	70	0	0.0347775
4	290	0	270	0	190	0	210	0	0.0348908
4	250	0	245	0	205	0	210	0	0.035328
4	275	0	270	0	250	0	255	0	0.0357602
4	270	0	220	0	20	0	70	0	0.0359597
4	370	0	360	0	270	0	280	0	0.0360888
4	220	0	200	0	60	0	80	0	0.0364405
4	390	0	370	0	250	0	270	0	0.036455
4	210	0	200	0	110	0	120	0	0.0365435
4	220	0	200	0	60	0	80	0	0.0367736
4	230	0	200	0	20	0	50	0	0.0371523
4	360	0	330	0	210	0	240	0	0.037259
4	300	0	280	0	200	0	220	0	0.0375522
4	280	0	270	0	220	0	230	0	0.0376798
4	260	0	220	0	60	0	100	0	0.0376829
4	250	0	230	0	130	0	150	0	0.0377672
4	280	0	270	0	190	0	200	0	0.0377945
4	290	0	250	0	170	0	210	0	0.0378496
